accession,has_pmc,has_by,has_sdrf
PXD006139,True,False,False
PXD006142,False,False,False
PXD006141,True,True,False
PXD006140,True,True,False
PXD006156,True,True,False
PXD006155,True,True,False
PXD006152,True,False,False
PXD008752,True,True,False
PXD006153,True,False,False
PXD006169,True,True,False
PXD006154,True,False,False
PXD006165,True,True,False
PXD006144,False,False,False
PXD006164,False,False,False
PXD006158,True,True,False
PXD008754,False,False,False
PXD006157,False,False,False
PXD006166,False,False,False
PXD006151,True,True,False
PXD006103,False,False,False
PXD006104,False,False,False
PXD008758,True,True,False
PXD008766,False,False,False
PXD008750,True,True,False
PXD008762,True,True,False
PXD006102,False,False,False
PXD008765,False,False,False
PXD008753,True,True,False
PXD008760,False,False,False
PXD006116,False,False,False
PXD006114,True,False,False
PXD006115,False,False,False
PXD008777,False,False,False
PXD006113,True,True,False
PXD006112,False,False,False
PXD006117,True,True,False
PXD006106,True,True,False
PXD008761,True,True,False
PXD008755,True,True,False
PXD008778,True,True,False
PXD008775,True,True,False
PXD008779,True,True,False
PXD006108,True,True,False
PXD006118,True,True,False
PXD008773,False,False,False
PXD006124,False,False,False
PXD006109,False,False,False
PXD006119,True,True,False
PRD000787,False,False,False
PXD006122,False,False,False
PXD003941,False,False,False
PXD008784,False,False,False
PXD008780,False,False,False
PXD008788,True,False,False
PXD006123,False,False,False
PXD008782,False,False,False
PXD006126,True,True,False
PXD006129,True,False,False
PXD006120,True,False,False
PXD008785,True,True,False
PXD008786,False,False,False
PXD015924,True,True,False
PXD003936,False,False,False
PXD003940,False,False,False
PRD000782,False,False,False
PXD002606,True,True,False
PXD002603,False,False,False
PXD008781,True,True,False
PXD003931,True,False,False
PXD002607,False,False,False
PXD008787,False,False,False
PXD006121,True,True,False
PXD006128,True,True,False
PXD006125,False,False,False
PXD003935,False,False,False
PXD002601,False,False,False
PXD002605,False,False,False
PXD008783,False,False,False
PRD000780,False,False,False
PXD002608,False,False,False
PXD002600,True,True,False
PXD003932,False,False,False
PXD003937,False,False,False
PXD003938,True,True,False
PXD002621,False,False,False
PRD000791,False,False,False
PRD000796,False,False,False
PRD000793,False,False,False
PXD003944,False,False,False
PXD002614,False,False,False
PXD002615,False,False,False
PXD003946,False,False,False
PXD002612,True,True,False
PRD000799,False,False,False
PXD003943,False,False,False
PXD002613,False,False,False
PXD002611,True,True,False
PXD002620,True,True,False
PRD000797,False,False,False
PRD000766,False,False,False
PXD014617,False,False,False
PXD002619,True,True,True
PXD003947,False,False,False
PXD014614,False,False,False
PXD015943,False,False,False
PRD000761,False,False,False
PRD000763,False,False,False
PXD001301,True,True,False
PRD000769,False,False,False
PXD003960,False,False,False
PXD015947,True,True,False
PXD015949,True,False,False
PRD000762,False,False,False
PXD003959,False,False,False
PXD003961,False,False,False
PXD014618,False,False,False
PXD003963,False,False,False
PXD002628,True,True,False
PXD002629,False,False,False
PXD002626,False,False,False
PXD002624,False,False,False
PXD003957,False,False,False
PXD003955,False,False,False
PXD002625,True,True,False
PXD003958,False,False,False
PRD000760,False,False,False
PXD014605,True,True,False
PXD015937,True,True,False
PXD003956,False,False,False
PXD003953,False,False,False
PXD002622,True,True,False
PXD014606,True,True,False
PXD002623,False,False,False
PXD002643,False,False,False
PXD003971,False,False,False
PXD003954,False,False,False
PXD014608,True,False,False
PRD000774,False,False,False
PRD000770,False,False,False
PXD001311,False,False,False
PXD002641,False,False,False
PXD003973,True,True,False
PRD000772,False,False,False
PXD014609,True,True,False
PXD014607,True,True,False
PXD001306,False,False,False
PXD003972,True,True,False
PXD001303,False,False,False
PXD002637,False,False,False
PXD002640,True,True,False
PXD001310,False,False,False
PXD006172,False,False,False
PXD002638,False,False,False
PXD001305,False,False,False
PXD006171,True,True,False
PXD006179,False,False,False
PXD006178,False,False,False
PXD003970,True,True,False
PXD001307,False,False,False
PXD006177,False,False,False
PXD002635,False,False,False
PXD003966,False,False,False
PXD003964,False,False,False
PXD006174,False,False,False
PXD002633,False,False,False
PXD003967,False,False,False
PXD003968,False,False,False
PXD014610,False,False,False
PXD006185,True,True,False
PXD003969,True,True,False
PXD006176,True,False,False
PXD006183,True,True,False
PXD001304,False,False,False
PXD003965,False,False,False
PXD003903,True,False,False
PXD003905,False,False,False
PXD003902,True,True,False
PXD006182,False,False,False
PXD006180,False,False,False
PXD006188,False,False,False
PXD003900,False,False,False
PXD003907,True,True,False
PXD003901,False,False,False
PXD003908,False,False,False
PXD006193,False,False,False
PXD006192,True,True,False
PXD006181,False,False,False
PXD006197,True,False,False
PXD006195,True,True,True
PXD003914,True,True,False
PXD003913,False,False,False
PXD003909,False,False,False
PXD003912,False,False,False
PXD006199,True,True,False
PXD003917,False,False,False
PXD006198,True,True,False
PXD003911,True,True,False
PXD003910,True,True,False
PXD003919,False,False,False
PXD006190,True,True,False
PXD003924,True,True,False
PXD006196,True,True,False
PXD003926,False,False,False
PXD003923,False,False,False
PXD003916,True,True,False
PXD003918,False,False,False
PXD003925,True,False,False
PXD003929,False,False,False
PXD003927,False,False,False
PXD013106,True,True,False
PXD003930,True,True,False
PXD003920,True,True,False
PXD003928,True,True,False
PXD002456,False,False,False
PXD002455,False,False,False
PXD014436,False,False,False
PXD003786,False,False,False
PXD001125,False,False,False
PXD001124,False,False,False
PXD003922,True,False,False
PXD001122,False,False,False
PXD001123,True,True,False
PXD003780,True,True,False
PXD003785,False,False,False
PXD001121,False,False,False
PXD001119,False,False,False
