pxd,in_pride_cache,experimentTypes,projectTags,experimentTypes_projectTags_combined,experimentTypes_present,projectTags_present,experiment_or_tag_present
PXD064366,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD065314,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD065770,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD067788,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD067843,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD068794,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD069044,yes,Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),,Bottom-up proteomics (PRIDE:0000428) | Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD069171,yes,Data-dependent acquisition (PRIDE:0000627),,Data-dependent acquisition (PRIDE:0000627),yes,no,yes
PXD069559,yes,Data-independent acquisition (PRIDE:0000450) | Bottom-up proteomics (PRIDE:0000428),,Data-independent acquisition (PRIDE:0000450) | Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD070144,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD070229,yes,Bottom-up proteomics (PRIDE:0000428),,Bottom-up proteomics (PRIDE:0000428),yes,no,yes
PXD072078,yes,Gel-based experiment (PRIDE:0000305),,Gel-based experiment (PRIDE:0000305),yes,no,yes
PXD073162,yes,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),yes,no,yes
