pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD064366,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD065314,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD065770,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD067788,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001241', 'name': 'co-eluting ion', 'value': ''}]",co-eluting ion (MS:1001241),yes
PXD067843,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus', 'value': ''}]",Q Exactive Plus (MS:1002634),yes
PXD068794,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD069044,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002732', 'name': 'Orbitrap Fusion Lumos'}]",Orbitrap Fusion Lumos (MS:1002732),yes
PXD069171,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD069559,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD070144,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD070229,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003094', 'name': 'Orbitrap Exploris 240'}]",Orbitrap Exploris 240 (MS:1003094),yes
PXD072078,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD073162,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
